State,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004(revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,"Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error","Median
income","Standard
error"
United States,59039,436,56516,321,53657,392,53585,654,51939,276,51017,209,50054,251,49276,325,49777,213,50303,137,50233,140,48201,207,46326,155,44334,196,43318,188,42409,139,42228,129,41990,132,40696,190,38885,230,37005,171,35492,179,34076,197,32264,147,31241,146,30636,145,30126,144,29943,153,28906,159,27225,139,26061,127,24897,129,23618,128,22415,102
Alabama,47221,2301,44509,3419,42278,1529,47320,5511,41381,2315,43464,2529,42590,2021,40933,2396,39980,904,44476,1659,42212,1420,37952,1014,37150,1215,36629,1303,37255,1580,37603,1062,35160,1006,35424,1072,36251,1189,36266,1307,31939,1607,30302,1258,25991,1266,27196,1559,25082,1088,25808,1058,24346,1068,23357,1037,21284,1070,19948,912,19734,1147,19132,885,18333,760,17310,605
Alaska,75723,4086,75112,3485,67629,3153,72472,5446,61137,3301,63648,2839,57431,3710,57848,2390,61604,1751,63989,2302,62993,1583,56418,1495,55891,1331,55063,2071,51837,981,52774,1073,57363,2012,52847,1159,51396,2226,50692,2124,47994,1258,52779,1907,47954,2008,45367,1494,42931,1643,41802,1156,40612,1822,39298,1627,36006,1378,33103,1183,33233,1497,31356,1017,34782,1089,32356,1473
Arizona,57100,1971,52248,2008,49254,2304,52611,4365,50602,4831,47044,2922,48621,2424,46896,2227,45739,1241,46914,1125,47215,1555,46657,1246,45245,1271,43846,1143,41166,1422,39734,1003,42704,1441,39783,1210,36995,1133,37090,1255,32740,1297,31637,1274,30863,1360,31293,773,30510,1120,29358,1088,30737,897,29224,1141,28552,1210,26435,843,26749,892,25500,718,23877,744,21425,609
Arkansas,45907,2165,42798,1572,44922,2546,39376,2402,39919,2389,39018,2812,41302,1849,38587,2464,36538,909,39586,1194,40795,1348,37057,767,36658,1309,34984,994,32002,776,32387,778,33339,1144,29697,772,29682,1026,27665,1160,26162,1154,27123,978,25814,999,25565,944,23039,847,23882,1398,23435,783,22786,981,21433,915,20172,706,18827,1008,18730,765,17451,764,15674,748
California,66637,1075,63636,1711,60487,894,60794,1811,57528,1223,57020,1238,53367,1378,54283,1182,56134,619,57014,829,55734,618,55319,695,51755,460,49222,660,49300,819,47437,766,47262,727,46816,686,43629,703,40934,577,39694,864,38812,818,37009,723,35331,619,34073,651,34903,629,33664,685,33290,565,33009,618,30287,634,30146,538,29010,570,26981,350,25287,364
Colorado,70566,4125,66596,3682,60940,2414,67912,4129,63371,2800,57255,2708,58629,2553,60233,2481,55930,1595,60943,1898,61141,1014,55697,1524,50449,1287,50886,1590,49940,1158,48294,1464,49397,1190,48240,1237,48177,1483,46599,1086,43233,1944,40950,1329,40706,1552,37833,1446,34488,1569,32484,1471,31499,1245,30733,906,26806,1398,26214,1285,26476,1075,27192,926,28182,850,25801,805
Connecticut,75923,3404,72889,4449,70161,2665,69291,3238,67781,2547,64247,2853,65415,3014,65998,2095,64851,2308,64682,2701,64141,2049,62404,2162,56835,1633,55100,1648,54965,1561,53387,1370,53347,1240,50172,1357,50593,2296,46508,2728,43985,1989,42119,3087,40243,2269,41097,1595,39516,1660,40841,1972,42154,1944,38870,2097,42321,1592,36213,1293,32862,1362,32721,1605,31090,1129,29951,1238
Delaware,58046,2992,57756,3392,57522,2970,54091,4350,52219,2486,48972,1976,54660,1745,55214,2255,52114,1781,50702,1388,54589,2159,52438,1730,51235,1076,48049,1421,49019,1378,49650,1685,49602,1468,50365,1508,46628,2281,41458,1753,43033,2062,39309,1402,34928,1848,35873,1191,36064,849,35678,1393,32585,1111,30804,1113,32068,1133,30505,1167,29244,875,25626,1212,22980,1366,25819,1027
D.C.,70982,2734,70071,2861,68277,4402,60057,5529,60675,3082,65246,3671,55251,2109,56928,3333,53141,2088,55590,1763,50783,1097,48477,1679,44993,2167,43451,1864,45044,1418,39070,995,41169,1023,41222,1072,38670,1599,33433,1311,31860,984,31966,1578,30748,1182,30116,1107,27304,1726,30247,1124,29885,1903,27392,1562,26752,1015,26741,748,27455,1285,24322,1252,21076,756,20408,860
Florida,51176,835,48825,1395,46140,950,48532,2815,47886,1573,46071,1110,45105,1138,44066,1544,45631,706,44857,858,45794,570,45676,629,42990,810,40535,632,38972,759,38024,828,36421,417,38856,743,35831,627,34909,767,32455,583,30641,513,29745,612,29294,632,28550,707,27349,526,27252,475,26685,454,26085,475,25406,475,24489,476,22849,540,21343,437,19785,468
Georgia,53527,1679,50768,1401,49555,2009,46992,4236,47439,1959,48121,1504,45973,2483,44117,1822,43340,1256,46227,1164,48641,1078,49344,1210,45926,838,40984,618,42438,979,42939,1107,42576,1073,41901,831,39425,1355,38665,1179,36663,916,32496,1666,34099,897,31467,1238,31663,1254,28797,1228,27212,1088,27561,1186,27542,1021,26566,896,26714,1380,24370,1112,21049,788,19984,815
Hawaii,72133,2510,64514,2840,71223,2676,64235,3918,61408,2207,56263,2255,59047,2531,59539,2731,55649,2023,61521,1481,64022,2125,60470,1571,59586,1212,56242,1690,51834,1332,47303,1371,47439,1256,51546,1193,44504,1832,40827,2369,40934,1399,41772,1893,42851,1292,42255,2423,42662,1759,42113,1435,37246,1630,38921,1414,35035,1328,33024,1482,35022,1074,29003,1206,28961,1446,28877,1216
Idaho,56564,1261,51624,1260,53438,2572,48467,5484,51767,3656,47922,3173,47459,3488,47050,1869,46778,1264,47420,1681,49184,1291,46213,1312,44176,1254,44358,1387,42372,982,37715,1121,38241,966,37611,1192,35800,1413,36680,1090,33404,1339,34709,1341,32676,1116,31536,1278,31010,1323,27704,874,26116,1029,25305,975,24654,953,23450,1004,20755,834,20749,680,20761,598,21092,963
Illinois,61386,1761,60413,1999,54916,1625,53937,3287,57196,1744,51738,1328,50637,1374,50728,1474,52870,941,53254,1325,52506,950,48671,1167,48398,986,46077,823,45153,1072,42710,856,46171,879,46064,966,46330,1028,43178,1234,41283,782,39554,1107,38071,875,35081,799,32857,810,31551,752,31884,714,32542,724,31300,623,29524,754,27084,536,26511,634,24870,523,23752,567
Indiana,56094,2877,51983,1682,48060,1943,49455,4508,50553,3220,46158,1787,44445,2309,46139,2573,44305,1085,46520,1185,47453,1255,45407,1236,42437,1100,42329,1151,42425,959,41047,748,40379,948,40865,679,40838,1719,39731,1589,38889,1183,35147,1298,33385,1444,27858,1032,29475,1361,28530,1315,27089,922,26928,1099,25898,1022,26293,931,22519,944,22728,709,22675,626,22770,710
Iowa,59094,2484,60855,3275,57810,3425,60156,6134,54855,1967,53442,2138,50219,1974,49016,1342,50721,1535,50142,1293,48908,1451,48126,1491,46500,1339,43391,1521,41384,884,41049,1152,40976,1133,40991,811,41098,1130,37019,1202,33783,1282,33209,1527,35519,942,33079,1280,28663,1240,28743,972,28553,1012,27288,986,26265,792,24305,1078,22190,912,22459,750,20927,604,19863,745
Kansas,56810,3268,54865,3731,53444,2863,47820,4496,51485,1498,50003,1812,46147,1950,46054,1816,44717,1788,47877,1410,48497,1805,45552,1252,42027,985,41066,1749,44232,1326,42619,1047,41415,1115,41059,1168,37348,2078,36711,1617,36471,1614,32585,1460,30341,921,28322,1064,29770,1144,30346,1137,29295,934,29917,1179,26862,908,25566,1153,25583,900,23926,782,22788,1033,24629,912
Kentucky,45369,2005,42387,2269,42786,1580,44879,3924,42158,1874,41086,1900,39856,1847,41104,2823,42664,1313,41148,812,39452,1211,39485,1051,36699,898,35610,1218,36936,857,36762,874,38437,1009,36265,848,33738,1484,36252,1511,33452,1659,32413,1439,29810,1149,26595,1028,24376,1091,23485,1259,23764,1046,24780,1213,23283,1206,19907,801,20673,939,19874,1006,17361,748,17680,1079
Louisiana,42196,1197,45922,2140,42406,1862,46425,2543,39622,2857,39085,1611,40658,1929,39300,3248,45433,1813,39563,1486,41313,937,36488,1425,37236,1297,36429,1243,33507,1103,34008,1258,33322,1195,30718,828,32654,1244,31735,1660,33260,1551,30262,1290,27949,1090,25676,1501,26312,1164,25439,1142,25299,1156,22405,1580,22861,1857,20497,1474,21349,858,20890,956,21179,728,18949,880
Maine,50856,3346,50756,1929,51710,2171,54957,3863,50121,1953,49158,2247,49693,1983,47931,1687,47502,1739,47228,1436,47894,1398,45642,1797,43923,1433,41329,1223,37113,945,36853,846,36612,952,37266,853,38862,1319,35640,1049,32772,1301,34696,1211,33858,1088,30316,1537,27438,1203,29617,1026,27868,1253,27464,1572,28221,1389,26402,942,23600,1019,23424,970,20519,803,20648,884
Maryland,73760,2591,73594,2692,76165,4272,69353,2970,65262,4386,71836,1851,68876,2125,64201,2297,64186,1674,63711,1769,65630,1661,63668,1601,60512,1477,57103,1692,52314,1223,56407,1532,53530,1652,54535,1400,52205,2217,50016,2161,46685,1476,43993,2565,41041,1627,39198,1400,39939,1282,37203,1626,36952,1417,38857,1596,36016,1187,36552,1196,34970,1388,30604,1036,30136,966,29708,1151
Massachusetts,72266,2911,67861,2790,63151,2662,62529,5303,62963,3456,63656,3773,63313,3226,60934,2193,59373,1749,60320,1674,58463,2231,55330,2079,56017,1754,52019,1667,50955,953,49855,1153,52253,1518,46753,1357,44005,2023,42345,1961,42023,1383,39494,1932,38574,1475,40500,1060,37064,949,36359,738,35714,790,36247,828,36086,704,33213,839,32241,716,30339,735,28207,810,26959,693
Michigan,57091,1908,54203,2005,52005,1199,56567,1587,48801,2229,50015,1515,48879,1844,46276,1737,45994,1003,49788,1154,49370,798,48647,966,45933,915,42256,858,45022,950,42715,1115,45047,868,45512,1095,46089,1026,41821,917,38742,1108,39225,1143,36426,994,35284,685,32662,682,32267,761,32117,689,29937,663,30775,790,29472,607,27702,724,26605,648,24242,838,22965,635
Minnesota,70218,4045,68730,3063,67244,3207,64324,3992,60907,1843,61795,1339,57820,2380,52321,1606,56090,1237,54925,1427,58058,1888,56211,1218,54215,1244,56104,1070,52823,1228,54622,1196,52681,1134,54251,1703,47038,1527,47926,2115,42564,1510,40991,1225,37933,1848,33644,1360,33682,1212,30981,1297,29479,1146,31465,1028,30185,1278,29087,1041,28082,1113,26443,1150,23856,1022,24436,914
Mississippi,41099,1226,40037,1071,35521,1294,32338,2730,40850,2144,36641,1546,41090,2366,38160,2830,35078,1304,36446,830,37279,951,34733,1583,32875,1292,34755,1132,32728,1113,30882,766,30161,1186,34299,1354,32478,1408,29120,1158,28499,1386,26677,1316,26538,1028,25400,752,22191,1229,20570,1074,19475,1053,20178,802,19917,947,18166,888,18513,901,16513,639,16413,619,15430,732
